country_code,year,paper_pulp_export_tonnes
AFG,2020,22
AFG,2019,22
AFG,2018,22
AFG,2017,19
AFG,2016,19
AFG,2015,19
AFG,2014,19
AFG,2013,19
AFG,2012,19
AFG,2011,19
AFG,2010,19
AFG,2009,19
AFG,2008,19
AFG,2007,19
AFG,2006,19
AFG,2005,19
AFG,2004,19
AFG,2003,19
AFG,2002,0
AFG,2001,0
AFG,2000,0
AFG,1999,0
AFG,1998,0
AFG,1997,0
AFG,1996,0
AFG,1995,0
ALB,2020,0
ALB,2019,0
ALB,2018,0
ALB,2017,0
ALB,2016,10
ALB,2015,10
ALB,2014,10
ALB,2013,10
ALB,2012,10
ALB,2011,0
ALB,2010,1
ALB,2009,1
ALB,2008,1
ALB,2007,1
ALB,2006,1
ALB,2005,1
ALB,2004,1
ALB,2003,1
ALB,2002,1
ALB,2001,1
ALB,2000,1
ALB,1999,14
ALB,1998,14
ALB,1997,14
ALB,1996,0
DZA,2020,24
DZA,2019,24
DZA,2018,24
DZA,2017,24
DZA,2016,24
DZA,2015,24
DZA,2014,24
DZA,2013,0
DZA,2012,0
DZA,2011,0
DZA,2010,0
DZA,2009,0
DZA,2008,0
DZA,2007,0
DZA,2006,0
DZA,2005,0
DZA,2004,0
DZA,2003,0
DZA,2002,0
DZA,2001,0
DZA,2000,0
DZA,1999,0
DZA,1998,0
DZA,1997,0
DZA,1996,30
DZA,1995,30
DZA,1994,0
DZA,1993,444
DZA,1992,444
ASM,2020,562
ASM,2019,562
AGO,2020,706
AGO,2019,706
AGO,2018,706
AGO,2017,706
AGO,2016,706
AGO,2015,706
AGO,2014,706
AGO,2013,961
AGO,2012,961
AGO,2011,961
AGO,2010,961
AGO,2009,961
AGO,2008,961
AGO,2007,433
AGO,2006,433
AGO,2005,433
AGO,2004,433
AGO,2003,433
AGO,2002,433
AGO,2001,433
AGO,2000,433
AGO,1999,433
AGO,1998,255
AGO,1997,255
AGO,1996,0
AGO,1995,0
AGO,1994,0
AGO,1987,0
AGO,1974,18600
AGO,1973,33300
AGO,1972,30900
AGO,1971,31900
AGO,1970,33900
AGO,1969,31700
AGO,1968,27100
ARG,2020,193689
ARG,2019,193672
ARG,2018,196002
ARG,2017,214002
ARG,2016,175003
ARG,2015,168003
ARG,2014,184877
