country_code,year,paper_pulp_import_tonnes
AFG,2020,233
AFG,2019,646
AFG,2018,140
AFG,2017,45
AFG,2016,291
AFG,2015,150
AFG,2014,225
AFG,2013,304
AFG,2012,344
AFG,2011,172
AFG,2010,199
AFG,2009,154
AFG,2008,86
AFG,2007,51
AFG,2006,490
AFG,2005,490
AFG,2004,490
AFG,2003,784
AFG,2002,783
AFG,2001,465
AFG,2000,465
AFG,1999,337
AFG,1998,337
AFG,1997,337
AFG,1996,337
AFG,1995,23
AFG,1994,23
AFG,1993,23
ALB,2020,1794
ALB,2019,23
ALB,2018,1
ALB,2017,0
ALB,2016,4436
ALB,2015,4436
ALB,2014,466
ALB,2013,436
ALB,2012,451
ALB,2011,4773
ALB,2010,4331
ALB,2009,4331
ALB,2008,4331
ALB,2007,4331
ALB,2006,4331
ALB,2005,4331
ALB,2004,4331
ALB,2003,4331
ALB,2002,4331
ALB,2001,4331
ALB,2000,4331
ALB,1999,4308
ALB,1998,4008
ALB,1997,4601
ALB,1996,4000
ALB,1995,4000
ALB,1994,4000
ALB,1993,3000
ALB,1992,0
DZA,2020,102614
DZA,2019,107806
DZA,2018,75836
DZA,2017,86874
DZA,2016,69786
DZA,2015,66926
DZA,2014,52641
DZA,2013,46542
DZA,2012,48297
DZA,2011,44460
DZA,2010,40329
DZA,2009,32508
DZA,2008,18540
DZA,2007,16308
DZA,2006,4363
DZA,2005,17340
DZA,2004,17340
DZA,2003,13620
DZA,2002,17000
DZA,2001,8600
DZA,2000,12900
DZA,1999,22700
DZA,1998,30000
DZA,1997,29000
DZA,1996,63200
DZA,1995,38800
DZA,1994,57400
DZA,1993,54500
DZA,1992,49416
DZA,1991,58600
DZA,1990,71000
DZA,1989,70000
DZA,1988,51700
DZA,1987,36900
DZA,1986,56200
DZA,1985,70700
DZA,1984,64000
DZA,1983,72600
DZA,1982,43400
DZA,1981,34600
DZA,1980,49600
DZA,1979,33100
DZA,1978,33000
DZA,1977,30900
DZA,1976,30900
DZA,1975,17000
DZA,1974,17000
DZA,1973,17000
DZA,1972,2300
DZA,1971,2300
DZA,1970,2300
DZA,1969,2300
DZA,1968,2300
DZA,1967,400
DZA,1966,400
DZA,1965,100
DZA,1963,1500
DZA,1962,1500
DZA,1961,1500
AND,2020,453
AND,2019,452
AND,2018,1
AND,2017,1
AND,2016,1
AND,2015,1
AND,2014,1
AND,2013,1
AND,2012,1
AND,2011,1
AND,2010,1
AND,2009,1
AND,2008,1
AND,2007,1
AND,2006,1
AND,2005,1
AND,2004,1
AND,2003,1
AND,2002,1
AND,2001,1
AND,2000,1
AND,1999,1
AND,1998,1
AND,1997,1
AND,1996,1
AND,1995,1
AND,1994,1
AGO,2020,17642
AGO,2019,12582
AGO,2018,11670
AGO,2017,8113
AGO,2016,3322
AGO,2015,799
AGO,2014,8964
AGO,2013,8068
AGO,2012,4201
AGO,2011,3548
AGO,2010,1423
AGO,2009,2883
AGO,2008,725
AGO,2007,1192
AGO,2006,339
AGO,2005,39
AGO,2004,39
AGO,2003,25
AGO,2002,19
AGO,2001,19
AGO,2000,19
AGO,1999,8
AGO,1998,8
AGO,1997,30
AGO,1996,0
AGO,1995,0
AGO,1994,0
AGO,1993,0
AGO,1992,0
ARG,2020,238613
ARG,2019,237468
ARG,2018,196800
ARG,2017,225760
ARG,2016,166069
ARG,2015,167911
ARG,2014,151383
ARG,2013,123758
ARG,2012,146008
ARG,2011,126038
ARG,2010,108197
ARG,2009,124356
ARG,2008,96938
ARG,2007,103610
ARG,2006,90620
ARG,2005,120698
