country_code,year,wood_pulp_export_tonnes
AFG,2020,38
AFG,2019,38
AFG,2018,38
AFG,2017,35
AFG,2016,35
AFG,2015,35
AFG,2014,35
AFG,2013,35
AFG,2012,35
AFG,2011,35
AFG,2010,35
AFG,2009,35
AFG,2008,35
AFG,2007,35
AFG,2006,19
AFG,2005,19
AFG,2004,19
AFG,2003,19
AFG,2002,0
AFG,2001,0
AFG,2000,0
AFG,1999,0
AFG,1998,0
AFG,1997,0
AFG,1996,0
AFG,1995,0
ALB,2020,0
ALB,2019,0
ALB,2018,0
ALB,2017,0
ALB,2016,25
ALB,2015,25
ALB,2014,25
ALB,2013,25
ALB,2012,25
ALB,2011,15
ALB,2010,16
ALB,2009,16
ALB,2008,16
ALB,2007,16
ALB,2006,16
ALB,2005,16
ALB,2004,16
ALB,2003,16
ALB,2002,16
ALB,2001,16
ALB,2000,16
ALB,1999,29
ALB,1998,29
ALB,1997,14
ALB,1996,0
DZA,2020,24
DZA,2019,24
DZA,2018,24
DZA,2017,24
DZA,2016,24
DZA,2015,24
DZA,2014,24
DZA,2013,0
DZA,2012,0
DZA,2011,0
DZA,2010,0
DZA,2009,0
DZA,2008,0
DZA,2007,0
DZA,2006,0
DZA,2005,0
DZA,2004,0
DZA,2003,0
DZA,2002,0
DZA,2001,0
DZA,2000,0
DZA,1999,0
DZA,1998,0
DZA,1997,0
DZA,1996,0
DZA,1995,0
DZA,1994,0
DZA,1993,444
DZA,1992,444
ASM,2020,562
ASM,2019,562
AGO,2020,706
AGO,2019,706
AGO,2018,706
AGO,2017,706
AGO,2016,706
AGO,2015,706
AGO,2014,706
AGO,2013,961
AGO,2012,961
AGO,2011,961
AGO,2010,961
AGO,2009,961
AGO,2008,961
AGO,2007,433
AGO,2006,433
AGO,2005,433
AGO,2004,433
AGO,2003,433
AGO,2002,433
AGO,2001,433
AGO,2000,433
AGO,1999,433
AGO,1998,255
AGO,1997,255
AGO,1996,0
AGO,1995,0
AGO,1994,0
AGO,1987,0
AGO,1974,18600
AGO,1973,33300
AGO,1972,30900
AGO,1971,31900
AGO,1970,33900
AGO,1969,31700
AGO,1968,27100
ARG,2020,193670
ARG,2019,193670
ARG,2018,196000
ARG,2017,214000
ARG,2016,175000
ARG,2015,168000
ARG,2014,184877
ARG,2013,196531
ARG,2012,164178
ARG,2011,204000
ARG,2010,229002
ARG,2009,249000
ARG,2008,178000
ARG,2007,201000
ARG,2006,212000
ARG,2005,212000
ARG,2004,290482
ARG,2003,254205
ARG,2002,258000
ARG,2001,245000
ARG,2000,240000
ARG,1999,197800
ARG,1998,198000
ARG,1997,198700
ARG,1996,189800
ARG,1995,158400
ARG,1994,152500
ARG,1993,151000
ARG,1992,100970
ARG,1991,114000
ARG,1990,114000
ARG,1989,52000
ARG,1988,73400
ARG,1987,66000
ARG,1986,66000
ARG,1985,81900
ARG,1984,45100
ARG,1983,38300
ARM,2020,0
ARM,2019,0
ARM,2018,0
ARM,2017,0
ARM,2016,25
ARM,2015,0
ARM,2014,0
ARM,2013,0
ARM,2012,0
ARM,2011,0
ARM,2010,4
ARM,2009,34
ARM,2008,0
ARM,2007,0
ARM,2006,0
ARM,2005,0
ARM,2004,0
ARM,2003,0
ARM,2002,0
ARM,2001,0
AUS,2020,414
AUS,2019,132
AUS,2018,596
AUS,2017,151
AUS,2016,436
AUS,2015,1328
AUS,2014,3000
AUS,2013,3014
AUS,2012,528
AUS,2011,11443
AUS,2010,16317
AUS,2009,19000
AUS,2008,17000
AUS,2007,10000
AUS,2006,10000
AUS,2005,6000
AUS,2004,4000
AUS,2003,3000
AUS,2002,3500
AUS,2001,2000
AUS,2000,1600
AUS,1999,0
AUS,1998,0
AUS,1997,0
AUS,1996,0
AUS,1995,0
AUS,1994,0
AUS,1993,212
AUS,1992,6084
AUS,1991,2200
AUS,1990,2200
AUS,1989,0
AUS,1987,0
AUS,1982,3800
AUS,1981,3800
AUS,1980,100
AUS,1979,100
AUS,1978,4500
AUS,1977,4500
AUS,1976,4500
AUS,1975,8000
AUT,2020,442167
AUT,2019,450128
AUT,2018,460971
AUT,2017,423813
AUT,2016,418365
AUT,2015,308805
AUT,2014,347710
AUT,2013,435880
AUT,2012,376510
AUT,2011,392808
AUT,2010,353240
AUT,2009,300179
AUT,2008,269621
AUT,2007,284011
AUT,2006,221698
AUT,2005,234002
AUT,2004,258000
AUT,2003,295000
AUT,2002,323000
AUT,2001,345000
AUT,2000,332000
AUT,1999,385000
AUT,1998,290000
AUT,1997,289700
AUT,1996,273500
AUT,1995,232800
AUT,1994,235000
AUT,1993,205776
AUT,1992,189607
AUT,1991,167000
AUT,1990,206200
AUT,1989,246100
AUT,1988,260000
AUT,1987,297400
AUT,1986,334800
AUT,1985,286500
AUT,1984,256900
AUT,1983,240700
AUT,1982,229600
AUT,1981,257500
AUT,1980,248000
AUT,1979,230900
AUT,1978,180000
AUT,1977,129500
AUT,1976,147900
AUT,1975,116300
AUT,1974,112900
AUT,1973,92300
AUT,1972,108100
AUT,1971,112100
AUT,1970,131700
AUT,1969,146400
AUT,1968,145000
AUT,1967,1400
AUT,1966,1700
AUT,1965,2700
AUT,1964,3800
AUT,1963,4600
AUT,1962,5100
AUT,1961,4700
AZE,2020,0
AZE,2019,0
AZE,2018,0
AZE,2017,0
AZE,2016,0
AZE,2015,0
AZE,2014,0
AZE,2013,0
AZE,2012,0
AZE,2011,7
AZE,2010,0
AZE,2009,0
AZE,2008,0
AZE,2007,0
AZE,2006,0
AZE,2005,0
AZE,2004,0
AZE,2003,0
AZE,2002,0
AZE,2001,0
AZE,2000,0
AZE,1999,0
AZE,1998,200
AZE,1997,200
BHS,2020,199
BHS,2019,199
BHS,2018,199
BHS,2017,199
BHS,2016,199
BHS,2015,199
BHS,2014,199
BHS,2013,199
BHS,2012,199
BHS,2011,199
BHS,2010,199
BHS,2009,199
BHS,2008,199
BHS,2007,91
BHS,2006,91
BHS,2005,0
BHS,2004,0
BHS,2003,0
BHS,2002,0
BHS,2001,0
BHS,2000,0
BHS,1999,0
BHS,1998,0
BHS,1997,0
BHS,1996,0
BHS,1995,0
BHS,1994,0
BHR,2020,482
BHR,2019,482
BHR,2018,504
BHR,2017,504
BHR,2016,504
BHR,2015,512
BHR,2014,256
BHR,2013,208
BHR,2012,208
BHR,2011,208
BHR,2010,208
BHR,2009,200
BHR,2008,200
BHR,2007,200
BGD,2020,6
BGD,2019,6
BGD,2018,6
BGD,2017,6
BGD,2016,7
BGD,2015,103
BGD,2014,103
BGD,2013,103
BGD,2012,103
BGD,2011,103
BGD,2010,103
BRB,2020,10
BRB,2019,10
BRB,2018,10
BRB,2017,10
BRB,2016,10
BRB,2015,10
BRB,2014,10
BRB,2013,23
BRB,2012,23
BRB,2011,25
BRB,2010,25
BRB,2009,288
BRB,2008,13
BRB,2007,13
BRB,2006,0
BRB,2005,0
BRB,2004,0
BRB,2003,0
BRB,2002,0
BRB,2001,0
BRB,2000,0
BRB,1999,0
BRB,1998,0
BRB,1997,0
BRB,1996,0
BRB,1995,1134
BRB,1994,0
BRB,1993,0
BLR,2020,215600
BLR,2019,115023
BLR,2018,21001
BLR,2017,2
BLR,2016,0
BLR,2015,56
BLR,2014,219
BLR,2013,0
BLR,2012,11
BLR,2011,135
BLR,2010,119
BLR,2009,100
BLR,2008,100
BLR,2007,100
BLR,2006,100
BLR,2005,100
BLR,2004,100
BLR,2003,100
BLR,2002,300
BLR,2001,0
BLR,2000,100
BLR,1999,100
BLR,1998,1199
BLR,1997,500
BLR,1996,800
BLR,1995,1000
BLR,1994,1000
BLR,1993,20
BLR,1992,100
BEL,2020,641910
BEL,2019,641910
BEL,2018,750313
BEL,2017,797845
BEL,2016,798479
BEL,2015,781382
BEL,2014,847333
BEL,2013,843970
BEL,2012,809240
BEL,2011,825223
BEL,2010,1112541
BEL,2009,996635
BEL,2008,1189641
BEL,2007,1479719
BEL,2006,1080293
BEL,2005,726183
BEL,2004,724443
BEL,2003,623603
BEL,2002,694563
BEL,2001,728440
BEL,2000,719000
BLZ,2020,91
BLZ,2019,91
BLZ,2018,724
BLZ,2017,24
BLZ,2016,774
BLZ,2015,774
BLZ,2014,774
BLZ,2013,4
BLZ,2012,4
BLZ,2011,4
BLZ,2010,4
BLZ,2009,4
BLZ,2008,104
BLZ,2007,209
BLZ,2006,1005
BLZ,2005,793
BLZ,2004,793
BLZ,2003,1943
BLZ,2002,1534
BLZ,2001,604
BLZ,2000,1868
BLZ,1999,1887
BLZ,1998,314
BLZ,1997,0
BLZ,1996,0
BLZ,1995,0
BLZ,1994,0
BLZ,1993,0
BEN,2020,0
BEN,2019,0
BEN,2018,0
BEN,2017,0
BEN,2016,0
BEN,2015,0
BEN,2014,0
BEN,2013,0
BEN,2012,0
BEN,2011,0
BEN,2010,0
BEN,2009,0
BEN,2008,0
BEN,2007,0
BEN,2006,0
BEN,2005,0
BEN,2004,0
BEN,2003,0
BEN,2002,0
BEN,2001,0
BEN,2000,0
BEN,1999,0
BEN,1998,21
BTN,2020,97
BTN,2019,97
BTN,2018,97
BTN,2017,97
BTN,2016,97
BTN,2015,19
BTN,2014,19
BTN,2013,19
BTN,2012,19
BTN,2011,19
BTN,2010,19
BTN,2009,19
BTN,2008,19
BTN,2007,19
BTN,2006,19
BTN,2005,19
BTN,2004,19
BTN,2003,19
BTN,2002,19
BTN,2001,19
BTN,2000,19
BTN,1999,19
BTN,1998,19
BTN,1997,19
BIH,2020,0
BIH,2019,20
BIH,2018,24
BIH,2017,0
BIH,2016,10
BIH,2015,0
BIH,2014,110
BIH,2013,0
BIH,2012,0
BIH,2011,0
BIH,2010,74
BIH,2009,0
BIH,2008,0
BIH,2007,50
BIH,2006,0
BIH,2005,0
BIH,2004,0
BIH,2003,44
BIH,2002,44
BIH,2001,44
BIH,2000,44
BIH,1999,44
BIH,1998,32
BIH,1997,24
BIH,1993,0
BIH,1992,172
BRA,2020,16480045
BRA,2019,15500753
BRA,2018,15190432
BRA,2017,13841746
BRA,2016,13523520
BRA,2015,11970252
BRA,2014,11028410
BRA,2013,9848335
BRA,2012,8911538
BRA,2011,8879788
BRA,2010,8793019
BRA,2009,8585845
BRA,2008,7203020
BRA,2007,6571259
BRA,2006,6238041
BRA,2005,5545236
BRA,2004,4987314
BRA,2003,4565740
BRA,2002,3416263
BRA,2001,3349380
BRA,2000,3010211
BRA,1999,3109050
BRA,1998,2802932
BRA,1997,2502700
BRA,1996,2245800
BRA,1995,1985505
BRA,1994,2077473
BRA,1993,2042931
BRA,1992,1677922
BRA,1991,1375000
BRA,1990,1033400
BRA,1989,999700
BRA,1988,1061800
BRA,1987,814300
BRA,1986,879500
BRA,1985,927700
BRA,1984,975600
BRA,1983,986100
BRA,1982,824600
BRA,1981,951000
BRA,1980,890400
BRA,1979,582400
BRA,1978,267900
BRA,1977,94600
BRA,1976,140600
BRA,1975,153200
BRA,1974,133700
BRA,1973,193800
BRA,1972,140700
