freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,AT	12.6 	13.3 	14.6 	15.3 	17.2 	14.4 	19.6 	22.3 	23.0 	21.8 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,BA	: 	: 	: 	: 	: 	21.5 	20.7 	19.2 	20.1 	23.5 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,BE	20.7 	22.9 	24.6 	23.9 	24.3 	28.8 	29.6 	25.5 	30.6 	28.3 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,BG	4.8 	5.6 	5.8 	5.4 	7.3 	5.7 	7.4 	8.3 	10.5 	11.5 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,CY	7.3 	10.5 	10.6 	12.7 	11.7 	12.2 	12.7 	14.8 	17.1 	20.1 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,CZ	25.7 	26.5 	23.7 	26.6 	24.0 	24.3 	29.2 	29.6 	24.5 	23.8 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,DE	22.4 	22.6 	24.6 	26.2 	24.2 	19.8 	18.0 	17.9 	19.7 	19.9 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,DK	27.1 	26.4 	26.0 	27.7 	28.5 	31.5 	33.5 	38.4 	38.3 	35.6 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,EA	13.8 	14.6 	16.9 	18.4 	18.2 	17.0 	17.0 	17.6 	18.8 	19.7 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,EE	10.4 	12.3 	12.5 	15.7 	15.8 	16.1 	17.7 	16.9 	18.7 	19.2 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,EL	7.9 	9.2 	6.3 	10.2 	10.8 	10.8 	9.5 	: u	19.3 	17.0 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,ES	12.5 	16.6 	16.5 	19.1 	20.0 	18.7 	19.1 	24.7 	25.8 	29.5 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,EU15	15.1 	16.0 	18.0 	19.1 	19.0 	18.0 	: 	: 	: 	: 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,EU27_2007	14.4 	15.1 	16.7 	17.8 	17.8 	17.2 	: 	: 	: 	: 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,EU27_2020	13.8 	14.5 	16.2 	17.6 	17.5 	16.8 	17.2 	18.1 	19.0 	19.7 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,EU28	14.4 	15.2 	16.8 	17.8 	17.8 	17.2 	18.1 	: 	: 	: 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,FI	15.8 	15.2 	15.6 	18.2 	20.6 	20.6 	23.2 	19.1 	23.5 	27.7 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,FR	11.5 	11.8 	16.5 	16.6 	16.5 	16.2 	16.0 	13.7 	12.1 	13.2 b
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,HR	: u	: u	19.6 	18.6 	17.7 	18.2 	21.9 	30.7 	29.7 	29.7 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,HU	10.0 	10.3 	10.5 	12.2 	13.0 	12.6 	13.0 	14.0 	18.6 	20.9 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,IE	22.8 	26.6 	32.2 	30.3 	30.0 	30.9 	35.6 	32.6 	33.6 	35.2 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,IS	24.1 	23.0 	: 	: 	: 	: 	: 	15.3 	: 	: 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,IT	4.9 	5.3 	6.7 	7.6 	8.2 	10.0 	10.0 	11.6 	13.1 	13.4 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,LT	19.7 	18.2 	17.8 	18.6 	22.1 	21.5 	24.2 	27.8 	32.0 	32.0 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,LU	15.7 	7.2 b	6.5 	9.3 	8.1 	12.5 	9.2 	9.8 	9.1 	8.6 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,LV	7.5 	7.1 	8.6 	8.3 	10.8 	10.7 	11.3 	11.8 	14.6 	15.9 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,ME	: 	: 	: 	: 	14.0 	9.6 	12.1 	: u	: u	: c
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,MK	4.1 	5.2 	1.9 	3.0 	: 	: 	: 	3.6 	5.6 	: 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,MT	10.7 	16.1 	16.1 	18.4 	15.5 	21.0 	23.4 	24.5 	26.7 	30.0 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,NL	12.9 	13.3 	17.0 	16.5 	15.7 	17.1 	21.3 	19.5 	23.1 	24.9 
A,GE10,C10-S951_X_K,E_ESELL,PC_ENT,NO	25.4 	25.4 	26.2 	26.5 	28.6 	27.5 	26.9 	21.9 	26.1 	29.3 
