T25,Land,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Land area (thousand hectares),"13,020,109",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2005,Arable land (thousand hectares),"1,366,253",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2005,Permanent crops (thousand hectares),"145,136",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2005,Forest cover (thousand hectares),"4,132,183",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2005,Arable land (% of total land area),10.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2005,Forest cover (% of total land area),31.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.67,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
1,"Total, all countries or areas",2010,Land area (thousand hectares),"13,018,366",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2010,Arable land (thousand hectares),"1,361,101",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2010,Permanent crops (thousand hectares),"157,820",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2010,Forest cover (thousand hectares),"4,106,317",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2010,Arable land (% of total land area),10.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2010,Forest cover (% of total land area),31.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.48,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
1,"Total, all countries or areas",2019,Land area (thousand hectares),"13,030,087",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2019,Arable land (thousand hectares),"1,383,346",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2019,Permanent crops (thousand hectares),"170,236",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2019,Forest cover (thousand hectares),"4,063,843",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2019,Arable land (% of total land area),10.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2019,Permanent crops (% of total land area),1.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2019,Forest cover (% of total land area),31.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
1,"Total, all countries or areas",2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.83,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
1,"Total, all countries or areas",2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.99,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
2,Africa,2005,Land area (thousand hectares),"2,979,693",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2005,Arable land (thousand hectares),"215,727",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2005,Permanent crops (thousand hectares),"30,348",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2005,Forest cover (thousand hectares),"693,032",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2005,Arable land (% of total land area),7.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2005,Permanent crops (% of total land area),1.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2005,Forest cover (% of total land area),23.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2010,Land area (thousand hectares),"2,979,769",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2010,Arable land (thousand hectares),"224,944",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2010,Permanent crops (thousand hectares),"32,967",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2010,Forest cover (thousand hectares),"676,015",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2010,Arable land (% of total land area),7.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2010,Permanent crops (% of total land area),1.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2010,Forest cover (% of total land area),22.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2019,Land area (thousand hectares),"2,990,311",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2019,Arable land (thousand hectares),"238,469",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2019,Permanent crops (thousand hectares),"34,784",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2019,Forest cover (thousand hectares),"640,609",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2019,Arable land (% of total land area),8.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2019,Permanent crops (% of total land area),1.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
2,Africa,2019,Forest cover (% of total land area),21.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2005,Land area (thousand hectares),"838,039",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2005,Arable land (thousand hectares),"41,430",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2005,Permanent crops (thousand hectares),"5,310",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2005,Forest cover (thousand hectares),"37,074",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2005,Arable land (% of total land area),4.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2005,Permanent crops (% of total land area),0.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2005,Forest cover (% of total land area),4.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),25.49,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
15,Northern Africa,2010,Land area (thousand hectares),"838,039",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2010,Arable land (thousand hectares),"42,525",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
15,Northern Africa,2010,Permanent crops (thousand hectares),"5,806",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
