country_code,year,paper_pulp_prod_tonnes
ALB,2020,0
ALB,2019,0
ALB,2018,0
ALB,2017,0
ALB,2016,0
ALB,2015,0
ALB,2014,0
ALB,2013,0
ALB,2012,0
ALB,2011,0
ALB,2010,0
ALB,2009,0
ALB,2008,0
ALB,2007,0
ALB,2006,0
ALB,2005,0
ALB,2004,0
ALB,2003,0
ALB,2002,0
ALB,2001,0
ALB,2000,0
ALB,1999,0
ALB,1998,15900
ALB,1997,15900
ALB,1996,15900
ALB,1995,15900
ALB,1994,15900
ALB,1993,15900
ALB,1992,15900
ALB,1991,15900
ALB,1990,15900
ALB,1989,15900
ALB,1988,15900
ALB,1987,8400
ALB,1986,8400
ALB,1985,8400
ALB,1984,8400
ALB,1983,8400
ALB,1982,8400
ALB,1981,8400
ALB,1980,8400
ALB,1979,8400
ALB,1978,8400
ALB,1977,8400
ALB,1976,8400
ALB,1975,8400
ALB,1974,8400
ALB,1973,8400
ALB,1972,8400
ALB,1971,8500
ALB,1970,8500
ALB,1969,8600
ALB,1968,8600
ALB,1967,8400
ALB,1966,7000
DZA,2020,2000
DZA,2019,2000
DZA,2018,2000
DZA,2017,2000
DZA,2016,2000
DZA,2015,2000
DZA,2014,2000
DZA,2013,2000
DZA,2012,2000
DZA,2011,2000
DZA,2010,2000
DZA,2009,2000
DZA,2008,2000
DZA,2007,2000
DZA,2006,2000
DZA,2005,2000
DZA,2004,2000
DZA,2003,2000
DZA,2002,2000
DZA,2001,2000
DZA,2000,5000
DZA,1999,21000
DZA,1998,21000
DZA,1997,21000
DZA,1996,21000
DZA,1995,21000
DZA,1994,21000
DZA,1993,21000
DZA,1992,21000
DZA,1991,21000
DZA,1990,21000
DZA,1989,21000
DZA,1988,21000
DZA,1987,21000
DZA,1986,21000
DZA,1985,21000
DZA,1984,7000
DZA,1983,7000
DZA,1982,10000
DZA,1981,31000
DZA,1980,24000
DZA,1979,24000
DZA,1978,12000
DZA,1977,12000
DZA,1976,12000
DZA,1975,12000
DZA,1974,12000
DZA,1973,12000
DZA,1972,18000
DZA,1971,16000
DZA,1970,16000
DZA,1969,14900
DZA,1968,13800
DZA,1967,13600
DZA,1966,12100
DZA,1965,14100
DZA,1964,13000
DZA,1963,11800
DZA,1962,10000
DZA,1961,23000
AGO,2020,0
AGO,2019,0
AGO,2018,0
AGO,2017,0
AGO,2016,0
AGO,2015,0
AGO,2014,0
AGO,2013,0
AGO,2012,0
AGO,2011,0
AGO,2010,0
AGO,2009,0
AGO,2008,0
AGO,2007,0
AGO,2006,0
AGO,2005,0
AGO,2004,0
AGO,2003,0
AGO,2002,0
AGO,2001,0
AGO,2000,0
AGO,1999,0
AGO,1998,0
AGO,1997,0
AGO,1996,0
AGO,1995,0
AGO,1994,0
AGO,1993,0
AGO,1992,0
AGO,1991,0
AGO,1990,0
AGO,1989,0
AGO,1988,0
AGO,1987,0
AGO,1986,0
AGO,1985,0
AGO,1984,2000
AGO,1983,2000
AGO,1982,37000
AGO,1981,37000
AGO,1980,37000
AGO,1979,37000
AGO,1978,37000
AGO,1977,37000
AGO,1976,37000
AGO,1975,37000
AGO,1974,37000
AGO,1973,43000
AGO,1972,37100
AGO,1971,34900
AGO,1970,38500
AGO,1969,36400
AGO,1968,30000
AGO,1967,26000
AGO,1966,27000
AGO,1965,24900
AGO,1964,25500
AGO,1963,21000
AGO,1962,14600
ARG,2020,733000
ARG,2019,790000
ARG,2018,852000
ARG,2017,812000
ARG,2016,815000
ARG,2015,867000
ARG,2014,925000
ARG,2013,882000
ARG,2012,845000
ARG,2011,770000
ARG,2010,947000
ARG,2009,931000
ARG,2008,999000
ARG,2007,941000
ARG,2006,925000
ARG,2005,937000
ARG,2004,992000
ARG,2003,894000
ARG,2002,829000
ARG,2001,785000
ARG,2000,788000
ARG,1999,665000
ARG,1998,724000
ARG,1997,913000
ARG,1996,753000
ARG,1995,823000
ARG,1994,745000
ARG,1993,727000
ARG,1992,703700
ARG,1991,657000
ARG,1990,722000
ARG,1989,735000
ARG,1988,738000
ARG,1987,736000
ARG,1986,741000
ARG,1985,666000
ARG,1984,645000
ARG,1983,567000
ARG,1982,375000
ARG,1981,293000
ARG,1980,348800
ARG,1979,436000
ARG,1978,336000
ARG,1977,333000
ARG,1976,320000
ARG,1975,301000
ARG,1974,318000
ARG,1973,281000
ARG,1972,283000
ARG,1971,240000
ARG,1970,202000
ARG,1969,160000
ARG,1968,145000
ARG,1967,113000
ARG,1966,149000
ARG,1965,122000
ARG,1964,111000
ARG,1963,110000
ARG,1962,95000
ARG,1961,101000
ARM,2020,0
ARM,2019,0
ARM,2018,0
ARM,2017,0
ARM,2016,0
ARM,2015,0
ARM,2014,0
ARM,2013,0
ARM,2012,0
ARM,2011,0
ARM,2010,0
ARM,2009,0
ARM,2008,0
ARM,2007,0
ARM,2006,0
ARM,2005,0
AUS,2020,1395000
AUS,2019,1521000
AUS,2018,1523000
AUS,2017,1378000
AUS,2016,1385202
AUS,2015,1408202
AUS,2014,1431000
AUS,2013,1431000
AUS,2012,1431000
AUS,2011,1417000
AUS,2010,1304000
AUS,2009,1226000
AUS,2008,1445000
AUS,2007,1182000
AUS,2006,1153000
AUS,2005,1159000
AUS,2004,1107000
AUS,2003,1170000
AUS,2002,1394000
AUS,2001,1206000
AUS,2000,1028000
AUS,1999,882000
AUS,1998,936000
AUS,1997,945000
AUS,1996,961000
AUS,1995,1010000
AUS,1994,1003000
AUS,1993,1002000
AUS,1992,1028000
AUS,1991,1049000
AUS,1990,1047000
AUS,1989,1048000
AUS,1988,1006000
AUS,1987,931000
AUS,1986,922000
AUS,1985,898000
AUS,1984,833000
AUS,1983,752000
AUS,1982,762000
AUS,1981,708000
AUS,1980,702000
AUS,1979,656000
AUS,1978,602000
AUS,1977,581000
AUS,1976,557000
AUS,1975,571000
AUS,1974,612000
AUS,1973,510000
AUS,1972,526800
AUS,1971,509400
AUS,1970,499400
AUS,1969,434200
AUS,1968,375700
AUS,1967,363900
AUS,1966,339000
AUS,1965,572600
AUS,1964,511700
AUS,1963,460000
AUS,1962,383100
AUS,1961,372000
AUT,2020,1581019
AUT,2019,1628664
AUT,2018,1627511
AUT,2017,1597681
AUT,2016,1654339
AUT,2015,1361520
AUT,2014,1496402
AUT,2013,1555618
AUT,2012,1726855
AUT,2011,1716329
AUT,2010,1702662
AUT,2009,1537569
AUT,2008,1715153
AUT,2007,1725000
AUT,2006,1678000
AUT,2005,1691000
AUT,2004,1698434
AUT,2003,1625000
AUT,2002,1558000
AUT,2001,1536000
AUT,2000,1580000
AUT,1999,1521000
AUT,1998,1492000
AUT,1997,1476000
AUT,1996,1396000
AUT,1995,1466000
AUT,1994,1481000
AUT,1993,1346000
AUT,1992,1380000
AUT,1991,1380000
AUT,1990,1356000
AUT,1989,1404000
AUT,1988,1359000
AUT,1987,1244000
AUT,1986,1258000
AUT,1985,1200000
AUT,1984,1142000
AUT,1983,1082000
AUT,1982,1102000
AUT,1981,1128000
AUT,1980,1161000
AUT,1979,1147000
AUT,1978,1035000
AUT,1977,1014000
AUT,1976,926000
AUT,1975,875000
AUT,1974,925000
AUT,1973,880700
AUT,1972,848700
AUT,1971,833400
AUT,1970,838100
AUT,1969,795900
AUT,1968,728200
AUT,1967,680500
AUT,1966,656200
AUT,1965,650700
AUT,1964,629400
AUT,1963,600500
AUT,1962,578000
AUT,1961,609500
AZE,2020,0
AZE,2019,0
AZE,2018,0
AZE,2017,0
AZE,2016,0
AZE,2015,0
AZE,2014,0
AZE,2013,0
AZE,2012,0
AZE,2011,0
AZE,2010,0
AZE,2009,0
AZE,2008,0
AZE,2007,0
AZE,2006,0
AZE,2005,0
AZE,2004,0
AZE,2003,0
AZE,2002,0
AZE,2001,0
AZE,2000,0
BGD,2020,65000
BGD,2019,65000
BGD,2018,65000
BGD,2017,65000
BGD,2016,65000
BGD,2015,65000
BGD,2014,65000
BGD,2013,65000
BGD,2012,65000
BGD,2011,65000
BGD,2010,65000
BGD,2009,65000
BGD,2008,65000
BGD,2007,65000
BGD,2006,65000
BGD,2005,65000
BGD,2004,65000
BGD,2003,72000
BGD,2002,37000
BGD,2001,37000
BGD,2000,37000
BGD,1999,37000
BGD,1998,37000
BGD,1997,97000
BGD,1996,114000
BGD,1995,122000
BGD,1994,129000
BGD,1993,129000
BGD,1992,129000
BGD,1991,129000
BGD,1990,134000
BGD,1989,127000
BGD,1988,127000
BGD,1987,123000
BGD,1986,115000
BGD,1985,127000
BGD,1984,102600
BGD,1983,106600
BGD,1982,103109
BGD,1981,103109
BGD,1980,91109
BGD,1979,91109
BGD,1978,76700
BGD,1977,47800
BGD,1976,53900
BGD,1975,27500
BGD,1974,34000
BGD,1973,39700
BGD,1972,38400
BGD,1971,42000
BGD,1970,26000
BGD,1969,26000
BGD,1968,30000
BGD,1967,9000
BGD,1966,12000
BGD,1965,13000
BGD,1964,28000
BGD,1963,26000
BGD,1962,30000
BGD,1961,26000
BLR,2020,291000
BLR,2019,187000
BLR,2018,27000
BLR,2017,2000
BLR,2016,9000
BLR,2015,32900
BLR,2014,32900
BLR,2013,32900
BLR,2012,55400
BLR,2011,50700
BLR,2010,50700
BLR,2009,45100
BLR,2008,65900
BLR,2007,65900
BLR,2006,65900
BLR,2005,61300
BLR,2004,61200
BLR,2003,60600
BLR,2002,59200
