country_code,year,wood_pulp_import_tonnes
AFG,2020,245
AFG,2019,622
AFG,2018,127
AFG,2017,32
AFG,2016,167
AFG,2015,158
AFG,2014,226
AFG,2013,358
AFG,2012,398
AFG,2011,168
AFG,2010,195
AFG,2009,147
AFG,2008,86
AFG,2007,51
AFG,2006,490
AFG,2005,490
AFG,2004,490
AFG,2003,784
AFG,2002,783
AFG,2001,490
AFG,2000,490
AFG,1999,756
AFG,1998,482
AFG,1997,564
AFG,1996,337
AFG,1995,23
AFG,1994,23
AFG,1993,23
ALB,2020,29
ALB,2019,23
ALB,2018,1
ALB,2017,0
ALB,2016,4465
ALB,2015,4465
ALB,2014,495
ALB,2013,465
ALB,2012,480
ALB,2011,4802
ALB,2010,4354
ALB,2009,4354
ALB,2008,4354
ALB,2007,4354
ALB,2006,4354
ALB,2005,4354
ALB,2004,4354
ALB,2003,4354
ALB,2002,4354
ALB,2001,4354
ALB,2000,4354
ALB,1999,4331
ALB,1998,4031
ALB,1997,4630
ALB,1996,4000
ALB,1995,4000
ALB,1994,4000
ALB,1993,3000
ALB,1992,0
DZA,2020,102617
DZA,2019,107809
DZA,2018,75839
DZA,2017,86801
DZA,2016,69713
DZA,2015,66851
DZA,2014,52785
DZA,2013,46707
DZA,2012,48297
DZA,2011,44392
DZA,2010,39351
DZA,2009,31534
DZA,2008,18555
DZA,2007,15796
DZA,2006,3804
DZA,2005,16923
DZA,2004,16923
DZA,2003,13620
DZA,2002,17000
DZA,2001,8600
DZA,2000,12900
DZA,1999,22700
DZA,1998,30000
DZA,1997,29000
DZA,1996,63000
DZA,1995,38600
DZA,1994,57200
DZA,1993,57100
DZA,1992,55260
DZA,1991,58600
DZA,1990,71000
DZA,1989,70000
DZA,1988,51700
DZA,1987,36900
DZA,1986,56200
DZA,1985,70700
DZA,1984,64000
DZA,1983,72600
DZA,1982,43400
DZA,1981,34600
DZA,1980,49600
DZA,1979,33100
DZA,1978,33000
DZA,1977,30900
DZA,1976,30900
DZA,1975,17000
DZA,1974,17000
DZA,1973,17000
DZA,1972,2300
DZA,1971,2300
DZA,1970,2300
DZA,1969,2300
DZA,1968,2300
DZA,1967,400
DZA,1966,400
DZA,1965,100
DZA,1963,1500
DZA,1962,1500
DZA,1961,1500
AND,2020,451
AND,2019,451
AGO,2020,17643
AGO,2019,12499
AGO,2018,11631
AGO,2017,8097
AGO,2016,3306
AGO,2015,798
AGO,2014,8964
AGO,2013,8068
AGO,2012,3841
AGO,2011,3491
AGO,2010,1408
AGO,2009,2881
AGO,2008,723
AGO,2007,1190
AGO,2006,337
AGO,2005,37
AGO,2004,37
AGO,2003,18
AGO,2002,12
AGO,2001,12
AGO,2000,12
AGO,1999,1
AGO,1998,1
AGO,1997,30
AGO,1996,0
AGO,1995,0
AGO,1994,0
AGO,1993,0
ARG,2020,238536
