country_code,year,wood_pulp_production_tonnes
ALB,2020,0
ALB,2019,0
ALB,2018,0
ALB,2017,0
ALB,2016,0
ALB,2015,0
ALB,2014,0
ALB,2013,0
ALB,2012,0
ALB,2011,0
ALB,2010,0
ALB,2009,0
ALB,2008,0
ALB,2007,0
ALB,2006,0
ALB,2005,0
ALB,2004,0
ALB,2003,0
ALB,2002,0
ALB,2001,0
ALB,2000,0
ALB,1999,0
ALB,1998,15500
ALB,1997,15500
ALB,1996,15500
ALB,1995,15500
ALB,1994,15500
ALB,1993,15500
ALB,1992,15500
ALB,1991,15500
ALB,1990,15500
ALB,1989,15500
ALB,1988,15500
ALB,1987,8000
ALB,1986,8000
ALB,1985,8000
ALB,1984,8000
ALB,1983,8000
ALB,1982,8000
ALB,1981,8000
ALB,1980,8000
ALB,1979,8000
ALB,1978,8000
ALB,1977,8000
ALB,1976,8000
ALB,1975,8000
ALB,1974,8000
ALB,1973,8000
ALB,1972,8000
ALB,1971,8100
ALB,1970,8100
ALB,1969,8200
ALB,1968,8200
ALB,1967,8000
ALB,1966,7000
AGO,2020,0
AGO,2019,0
AGO,2018,0
AGO,2017,0
AGO,2016,0
AGO,2015,0
AGO,2014,0
AGO,2013,0
AGO,2012,0
AGO,2011,0
AGO,2010,0
AGO,2009,0
AGO,2008,0
AGO,2007,0
AGO,2006,0
AGO,2005,0
AGO,2004,0
AGO,2003,0
AGO,2002,0
AGO,2001,0
AGO,2000,0
AGO,1999,0
AGO,1998,0
AGO,1997,0
AGO,1996,0
AGO,1995,0
AGO,1994,0
AGO,1993,0
AGO,1992,0
AGO,1991,0
AGO,1990,0
AGO,1989,0
AGO,1988,0
AGO,1987,0
AGO,1986,0
AGO,1985,0
AGO,1984,0
AGO,1983,0
AGO,1982,35000
AGO,1981,35000
AGO,1980,35000
AGO,1979,35000
AGO,1978,35000
AGO,1977,35000
AGO,1976,35000
AGO,1975,35000
AGO,1974,35000
AGO,1973,41000
AGO,1972,35400
AGO,1971,33200
AGO,1970,36600
AGO,1969,35100
AGO,1968,29000
AGO,1967,25000
AGO,1966,26000
AGO,1965,23900
AGO,1964,24500
AGO,1963,21000
AGO,1962,14600
ARG,2020,620000
ARG,2019,660000
ARG,2018,723000
ARG,2017,688000
ARG,2016,696000
ARG,2015,731000
ARG,2014,778000
ARG,2013,749000
ARG,2012,710000
ARG,2011,637000
ARG,2010,711000
ARG,2009,715000
ARG,2008,860000
ARG,2007,684000
ARG,2006,794000
ARG,2005,755000
ARG,2004,874000
ARG,2003,782000
ARG,2002,722000
ARG,2001,678000
ARG,2000,681000
ARG,1999,564000
ARG,1998,616000
ARG,1997,789000
ARG,1996,625000
ARG,1995,657000
ARG,1994,697000
ARG,1993,678000
ARG,1992,591700
ARG,1991,579000
ARG,1990,605000
ARG,1989,614000
ARG,1988,617000
ARG,1987,615000
ARG,1986,622000
ARG,1985,575000
ARG,1984,559000
ARG,1983,496000
ARG,1982,333000
ARG,1981,252000
ARG,1980,308800
ARG,1979,387000
ARG,1978,287000
ARG,1977,265000
ARG,1976,275000
ARG,1975,259000
ARG,1974,272000
ARG,1973,238000
ARG,1972,239000
ARG,1971,206000
ARG,1970,166000
ARG,1969,123000
ARG,1968,108000
ARG,1967,79000
ARG,1966,91000
ARG,1965,86000
ARG,1964,71000
ARG,1963,72000
ARG,1962,60000
ARG,1961,51000
ARM,2020,0
ARM,2019,0
ARM,2018,0
ARM,2017,0
ARM,2016,0
ARM,2015,0
ARM,2014,0
ARM,2013,0
ARM,2012,0
ARM,2011,0
ARM,2010,0
ARM,2009,0
ARM,2008,0
ARM,2007,0
ARM,2006,0
ARM,2005,0
AUS,2020,1395000
AUS,2019,1521000
AUS,2018,1523000
AUS,2017,1378000
AUS,2016,1385202
AUS,2015,1408202
AUS,2014,1431000
AUS,2013,1431000
AUS,2012,1431000
AUS,2011,1417000
AUS,2010,1304000
AUS,2009,1226000
AUS,2008,1445000
AUS,2007,1182000
AUS,2006,1153000
AUS,2005,1159000
AUS,2004,1107000
AUS,2003,1170000
AUS,2002,1267000
AUS,2001,1074000
AUS,2000,894000
AUS,1999,882000
AUS,1998,936000
AUS,1997,945000
AUS,1996,954000
AUS,1995,1003000
AUS,1994,997000
AUS,1993,996000
AUS,1992,1019000
AUS,1991,1037000
AUS,1990,1035000
AUS,1989,1036000
AUS,1988,994000
AUS,1987,919000
AUS,1986,910000
AUS,1985,887000
AUS,1984,823000
AUS,1983,751000
AUS,1982,753000
AUS,1981,703000
AUS,1980,697000
AUS,1979,650000
AUS,1978,598000
AUS,1977,579000
AUS,1976,557000
AUS,1975,571000
AUS,1974,612000
AUS,1973,510000
AUS,1972,526800
AUS,1971,506400
AUS,1970,496400
AUS,1969,431200
AUS,1968,372700
AUS,1967,360900
AUS,1966,336000
AUS,1965,570600
AUS,1964,509700
AUS,1963,457000
AUS,1962,380000
AUS,1961,368100
AUT,2020,2022186
AUT,2019,2090269
AUT,2018,2083266
AUT,2017,2056089
AUT,2016,2116306
AUT,2015,1812471
AUT,2014,1943782
AUT,2013,1987355
AUT,2012,2026910
AUT,2011,2005465
AUT,2010,1984491
AUT,2009,1817083
AUT,2008,1988946
AUT,2007,1989000
AUT,2006,1928000
AUT,2005,1932000
AUT,2004,1934354
AUT,2003,1823000
AUT,2002,1754000
AUT,2001,1728000
AUT,2000,1760000
AUT,1999,1688000
AUT,1998,1650000
AUT,1997,1629000
AUT,1996,1550000
AUT,1995,1619000
AUT,1994,1634000
AUT,1993,1492000
AUT,1992,1527000
AUT,1991,1521000
AUT,1990,1498000
AUT,1989,1541000
AUT,1988,1493000
AUT,1987,1371000
AUT,1986,1384000
AUT,1985,1325000
AUT,1984,1268000
AUT,1983,1208000
AUT,1982,1228000
AUT,1981,1255000
AUT,1980,1281000
AUT,1979,1266000
AUT,1978,1151000
AUT,1977,1134000
AUT,1976,1047000
AUT,1975,976000
AUT,1974,1035000
AUT,1973,983400
AUT,1972,939400
AUT,1971,929800
AUT,1970,933300
AUT,1969,891500
AUT,1968,818100
AUT,1967,766500
AUT,1966,744500
AUT,1965,742200
AUT,1964,720800
AUT,1963,684400
AUT,1962,658600
AUT,1961,688900
AZE,2020,0
AZE,2019,0
AZE,2018,0
AZE,2017,0
AZE,2016,0
AZE,2015,0
AZE,2014,0
AZE,2013,0
AZE,2012,0
AZE,2011,0
AZE,2010,0
AZE,2009,0
AZE,2008,0
AZE,2007,0
AZE,2006,0
AZE,2005,0
AZE,2004,0
AZE,2003,0
AZE,2002,0
AZE,2001,0
AZE,2000,0
BGD,2020,47000
BGD,2019,47000
BGD,2018,47000
BGD,2017,47000
BGD,2016,47000
BGD,2015,47000
BGD,2014,47000
BGD,2013,47000
BGD,2012,47000
BGD,2011,47000
BGD,2010,47000
BGD,2009,47000
BGD,2008,47000
BGD,2007,47000
BGD,2006,47000
BGD,2005,47000
BGD,2004,47000
BGD,2003,54000
BGD,2002,19000
BGD,2001,19000
BGD,2000,19000
BGD,1999,19000
BGD,1998,19000
BGD,1997,66000
BGD,1996,76000
BGD,1995,84000
BGD,1994,96000
BGD,1993,96000
BGD,1992,96000
BGD,1991,96000
BGD,1990,102000
BGD,1989,95000
BGD,1988,95000
BGD,1987,83000
BGD,1986,75000
BGD,1985,77000
BGD,1984,52600
BGD,1983,56600
BGD,1982,52600
BGD,1981,52600
BGD,1980,40600
BGD,1979,40600
BGD,1978,28000
BGD,1977,12800
BGD,1976,18900
BGD,1975,11500
BGD,1974,18000
BGD,1973,28700
BGD,1972,23400
BGD,1971,22000
BGD,1970,26000
BGD,1969,26000
BGD,1968,30000
BGD,1967,9000
BGD,1966,12000
BGD,1965,13000
BGD,1964,28000
BGD,1963,26000
BGD,1962,30000
BGD,1961,26000
BLR,2020,291000
BLR,2019,187000
BLR,2018,27000
BLR,2017,2000
BLR,2016,9000
BLR,2015,32900
BLR,2014,32900
BLR,2013,32900
BLR,2012,55400
BLR,2011,50700
BLR,2010,50700
BLR,2009,45100
BLR,2008,65900
BLR,2007,65900
BLR,2006,65900
BLR,2005,61300
BLR,2004,61200
BLR,2003,60600
BLR,2002,59200
BLR,2001,58100
BLR,2000,55900
BLR,1999,51700
BLR,1998,43300
BLR,1997,31000
BLR,1996,31000
BLR,1995,31000
BLR,1994,31000
BLR,1993,26000
BLR,1992,37000
BEL,2020,515010
BEL,2019,515010
BEL,2018,515010
BEL,2017,501010
BEL,2016,500001
BEL,2015,492000
BEL,2014,501000
BEL,2013,493500
BEL,2012,495000
BEL,2011,504309
BEL,2010,452814
BEL,2009,685827
BEL,2008,450000
BEL,2007,528000
BEL,2006,509000
BEL,2005,509000
BEL,2004,532000
BEL,2003,491000
BEL,2002,466000
BEL,2001,405000
BEL,2000,431000
BIH,2020,70000
BIH,2019,65500
BIH,2018,80700
BIH,2017,67880
BIH,2016,46000
BIH,2015,86240
BIH,2014,80000
BIH,2013,80000
BIH,2012,78000
BIH,2011,79000
BIH,2010,58000
BIH,2009,40800
BIH,2008,33000
BIH,2007,10515
BIH,2006,20000
BIH,2005,20000
BIH,2004,20000
BIH,2003,20000
BRA,2020,21558000
BRA,2019,20277000
BRA,2018,21695000
BRA,2017,20187000
BRA,2016,19409000
BRA,2015,17813000
BRA,2014,16845000
BRA,2013,15492000
BRA,2012,14318000
BRA,2011,14282000
BRA,2010,14474000
