Entity,Code,Year,net_traded_deforestation
Afghanistan,AFG,2005,356.6246693651805
Afghanistan,AFG,2006,102.64647573179681
Afghanistan,AFG,2007,156.67704024331698
Afghanistan,AFG,2008,270.48644663160246
Afghanistan,AFG,2009,583.7729544845712
Afghanistan,AFG,2010,1132.6910257886716
Afghanistan,AFG,2011,663.5228874411983
Afghanistan,AFG,2012,687.7361328842524
Afghanistan,AFG,2013,652.5711055251784
Albania,ALB,2005,1185.5533534199276
Albania,ALB,2006,1192.7558998361576
Albania,ALB,2007,1531.7300706798744
Albania,ALB,2008,1189.1510915920544
Albania,ALB,2009,674.4554302094248
Albania,ALB,2010,512.1313540117171
Albania,ALB,2011,346.0120941842915
Albania,ALB,2012,352.01699986035965
Albania,ALB,2013,266.499757225104
Algeria,DZA,2005,17239.677663456114
Algeria,DZA,2006,15142.862547312174
Algeria,DZA,2007,14098.74361990599
Algeria,DZA,2008,15064.945573936753
Algeria,DZA,2009,18038.98023391339
Algeria,DZA,2010,14782.037738591474
Algeria,DZA,2011,16726.094778202816
Algeria,DZA,2012,20073.437054291717
Algeria,DZA,2013,17950.332797702176
Angola,AGO,2005,3863.5465605495265
Angola,AGO,2006,5713.716229579921
Angola,AGO,2007,6735.064104382793
Angola,AGO,2008,9256.015920108359
Angola,AGO,2009,5571.552175441189
Angola,AGO,2010,4178.190915633371
Angola,AGO,2011,5272.762214577699
Angola,AGO,2012,6173.493391496886
Angola,AGO,2013,5791.469391056773
Argentina,ARG,2005,-132792.12698599623
Argentina,ARG,2006,-138406.47622735897
Argentina,ARG,2007,-130740.6388239275
Argentina,ARG,2008,-140158.1874293388
Argentina,ARG,2009,-173970.37799903375
Argentina,ARG,2010,-152541.78768088884
Argentina,ARG,2011,-198106.64930250074
Argentina,ARG,2012,-248202.9460188703
Argentina,ARG,2013,-163833.48598738338
Armenia,ARM,2005,392.20574232820974
Armenia,ARM,2006,336.86866525670496
Armenia,ARM,2007,350.66497271095466
Armenia,ARM,2008,421.25692049559177
Armenia,ARM,2009,370.16919303820123
Armenia,ARM,2010,513.5747353421419
Armenia,ARM,2011,384.0458332399735
Armenia,ARM,2012,385.74720813413273
Armenia,ARM,2013,433.90427657363864
Aruba,ABW,2005,945.5230016467336
Aruba,ABW,2006,930.2895642438159
Aruba,ABW,2007,733.3348643722943
Aruba,ABW,2008,819.2302295396174
Aruba,ABW,2009,247.85487066203257
Aruba,ABW,2010,224.03141384201447
Aruba,ABW,2011,148.55131235975176
Aruba,ABW,2012,146.98547463782222
Aruba,ABW,2013,137.89598724919168
Australia,AUS,2005,-31662.449018521096
Australia,AUS,2006,-28580.970258986978
Australia,AUS,2007,-20445.08179893614
Australia,AUS,2008,-9997.944998526065
Australia,AUS,2009,-11911.745983730034
Australia,AUS,2010,-15258.97102230502
Australia,AUS,2011,-12292.851164238422
Australia,AUS,2012,-10031.455414948217
Australia,AUS,2013,-33257.59509830948
Austria,AUT,2005,3249.590435925199
Austria,AUT,2006,3189.1081311816138
Austria,AUT,2007,3124.47690808923
Austria,AUT,2008,2825.24750889466
Austria,AUT,2009,2996.258703601298
Austria,AUT,2010,2908.5189438873144
Austria,AUT,2011,3078.8971968295195
Austria,AUT,2012,2973.2592103286865
Austria,AUT,2013,2419.8153219014357
Azerbaijan,AZE,2005,506.9372207491136
Azerbaijan,AZE,2006,565.5611193200065
Azerbaijan,AZE,2007,633.0649266170088
Azerbaijan,AZE,2008,733.2650190154353
Azerbaijan,AZE,2009,719.523197000162
Azerbaijan,AZE,2010,729.0495624922095
Azerbaijan,AZE,2011,761.2058639278591
Azerbaijan,AZE,2012,1084.604940867554
Azerbaijan,AZE,2013,903.3685955874997
Bahamas,BHS,2005,150.15736740233362
Bahamas,BHS,2006,82.48117009638136
Bahamas,BHS,2007,120.7914067626192
Bahamas,BHS,2008,82.8964304629489
Bahamas,BHS,2009,123.18015608136048
Bahamas,BHS,2010,129.75353411914836
Bahamas,BHS,2011,133.4948488735901
Bahamas,BHS,2012,190.41770572716578
Bahamas,BHS,2013,148.01215678148782
Bahrain,BHR,2005,537.082093268796
Bahrain,BHR,2006,484.15357396891824
Bahrain,BHR,2007,487.6440798037008
Bahrain,BHR,2008,408.0077854089194
Bahrain,BHR,2009,490.92598594549736
Bahrain,BHR,2010,1559.5505155840424
Bahrain,BHR,2011,889.320076310925
Bahrain,BHR,2012,970.2994831285353
Bahrain,BHR,2013,755.1940543340071
Bangladesh,BGD,2005,7350.980885306231
Bangladesh,BGD,2006,15564.53976393033
Bangladesh,BGD,2007,21543.28328436788
Bangladesh,BGD,2008,11524.335758070469
Bangladesh,BGD,2009,18150.60745664291
Bangladesh,BGD,2010,16526.292840401213
Bangladesh,BGD,2011,19286.037160680185
Bangladesh,BGD,2012,17000.351119431678
Bangladesh,BGD,2013,15254.353532863046
