country,recovered_paper_totals_2020,mixed_grades_2020,corrugated_solid_containers_2020,newspapers_2020,wood_free_2020
ARG,909.0,,,,
AUS,1808.0,60.0,1076.0,50.0,622.0
AUT,2558.0,379.0,1274.0,547.0,358.0
BLR,258.0,,,,
BEL,1221.0,39.0,538.0,601.0,43.0
BRA,4900.0,140.0,4135.0,45.0,580.0
CHL,215.0,9.0,203.0,3.0,0.0
CHN,61825.0,,,,
COL,811.0,5.515,606.005,27.144,172.823
CZE,215.0,51.0,154.0,6.0,4.0
DNK,54.0,,,,
EST,25.0,,,,
FRA,4943.0,461.0,3501.0,448.0,534.0
DEU,16905.0,4253.0,7758.0,2985.0,1909.0
ITA,5207.0,,,,
JPN,15708.0,472.0,8837.0,4752.0,1647.0
MEX,6117.0,,,,
MMR,543.0,100.0,374.0,35.0,34.0
NLD,2601.0,849.0,1401.0,264.0,87.0
NZL,185.19751,0.0,138.34411,0.0,46.8534
PHL,906.0,,,,
POL,2327.0,267.0,1842.0,139.0,79.0
PRT,258.0,0.0,203.0,26.0,29.0
KOR,9441.0,,,,
ESP,5131.0,405.0,4004.0,283.0,439.0
THA,4433.0,1330.0,2793.0,177.0,133.0
USA,28476.0,3743.0,20648.0,931.0,3154.0
URY,120.0,120.0,,,
