freight_type,period,value_thousand_metric_tons,country_code
unloaded,2017-09-01,662.0,LVA
unloaded,2016-12-01,628.0,LVA
unloaded,2016-09-01,584.0,LVA
unloaded,2016-10-01,748.0,LVA
unloaded,2016-01-01,423.0,LVA
unloaded,2016-02-01,452.0,LVA
unloaded,2016-03-01,542.0,LVA
unloaded,2016-06-01,498.0,LVA
unloaded,2016-05-01,633.0,LVA
unloaded,2016-04-01,536.0,LVA
unloaded,2016-07-01,739.0,LVA
unloaded,2016-08-01,563.0,LVA
unloaded,2016-11-01,550.0,LVA
unloaded,2015-12-01,460.0,LVA
unloaded,2015-02-01,563.0,LVA
unloaded,2015-03-01,534.0,LVA
unloaded,2015-04-01,545.0,LVA
unloaded,2015-01-01,528.0,LVA
unloaded,2015-05-01,605.0,LVA
unloaded,2015-07-01,726.0,LVA
unloaded,2015-06-01,666.0,LVA
unloaded,2015-11-01,524.0,LVA
unloaded,2015-10-01,636.0,LVA
unloaded,2015-09-01,564.0,LVA
unloaded,2015-08-01,668.0,LVA
unloaded,2014-12-01,655.0,LVA
unloaded,2014-11-01,1127.0,LVA
unloaded,2014-07-01,786.0,LVA
unloaded,2014-06-01,753.0,LVA
unloaded,2014-10-01,764.0,LVA
unloaded,2014-09-01,743.0,LVA
unloaded,2014-08-01,737.0,LVA
loaded,2021-06-01,2450.0,LTU
loaded,2021-01-01,3006.0,LTU
loaded,2021-02-01,2642.0,LTU
loaded,2021-04-01,2570.0,LTU
loaded,2021-03-01,2626.0,LTU
loaded,2021-05-01,2667.0,LTU
loaded,2020-12-01,3460.0,LTU
loaded,2020-05-01,2782.0,LTU
loaded,2020-04-01,2346.0,LTU
loaded,2020-06-01,2639.0,LTU
loaded,2020-02-01,2326.0,LTU
loaded,2020-01-01,2419.0,LTU
loaded,2020-03-01,3285.0,LTU
loaded,2020-07-01,2768.0,LTU
loaded,2020-08-01,3124.0,LTU
loaded,2020-09-01,3308.0,LTU
loaded,2020-10-01,3696.0,LTU
loaded,2020-11-01,3106.0,LTU
loaded,2019-02-01,3174.0,LTU
loaded,2019-01-01,3029.0,LTU
loaded,2019-04-01,3035.0,LTU
loaded,2019-05-01,2749.0,LTU
loaded,2019-03-01,2936.0,LTU
loaded,2019-06-01,3152.0,LTU
loaded,2019-07-01,2665.0,LTU
loaded,2019-08-01,3023.0,LTU
loaded,2019-10-01,3010.0,LTU
loaded,2019-11-01,2760.0,LTU
loaded,2019-12-01,2772.0,LTU
loaded,2019-09-01,3023.0,LTU
loaded,2018-12-01,3377.0,LTU
loaded,2018-02-01,2861.0,LTU
loaded,2018-01-01,3023.0,LTU
