country,country_code,series,seriescode,measure,period,D1,D2,D3,data,footnoteref
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2017SEP ,,,,               662,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016DEC ,,,,               628,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016SEP ,,,,               584,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016OCT ,,,,               748,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016YEAR,,,,               575,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016JAN ,,,,               423,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016FEB ,,,,               452,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016MAR ,,,,               542,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016JUN ,,,,               498,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016MAY ,,,,               633,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016APR ,,,,               536,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016JUL ,,,,               739,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016AUG ,,,,               563,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2016NOV ,,,,               550,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015YEAR,,,,               585,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015DEC ,,,,               460,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015FEB ,,,,               563,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015MAR ,,,,               534,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015APR ,,,,               545,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015JAN ,,,,               528,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015MAY ,,,,               605,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015JUL ,,,,               726,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015JUN ,,,,               666,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015NOV ,,,,               524,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015OCT ,,,,               636,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015SEP ,,,,               564,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2015AUG ,,,,               668,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014DEC ,,,,               655,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014NOV ,,,,              1127,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014JUL ,,,,               786,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014JUN ,,,,               753,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014YEAR,,,,               760,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014OCT ,,,,               764,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014SEP ,,,,               743,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2014AUG ,,,,               737,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2013YEAR,,,,               687,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2012YEAR,,,,               755,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2011YEAR,,,,               649,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2010YEAR,,,,               453,
Latvia,428,Transport - International maritime freight unloaded,4802,(thousand metric tons monthly average or calendar months),      2009YEAR,,,,               368,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2021JUN ,,,,              2450,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2021JAN ,,,,              3006,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2021FEB ,,,,              2642,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2021APR ,,,,              2570,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2021MAR ,,,,              2626,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2021MAY ,,,,              2667,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2021YEAR,,,,              2938,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020DEC ,,,,              3460,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020YEAR,,,,              2938,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020MAY ,,,,              2782,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020APR ,,,,              2346,
Lithuania,440,Transport - International maritime freight loaded,4801,(thousand metric tons monthly average or calendar months),      2020JUN ,,,,              2639,
